numberOfPlot,street,buildingCount
19,улица Кутузова,4
20,улица Лаврова,3
20,улица Лазарева,27
20,улица Лазо,20
20,Лазурная улица,36
20,Ландшафтная улица,1
20,улица Лаптева,0
20,улица Ласточкина,5
20,улица Лебедева,0
20,улица Лебедевского,5
20,улица Леваневского,0
20,улица Левитана,5
20,Левобережная улица,0
20,улица Левый Берег Каменки,2
20,улица Левый Берег Плющихи,2
20,Легендарная улица,0
20,улица Ленина,50
20,Ленинградская улица,201
20,Лениногорская улица,10
20,Ленская улица,1
20,улица Леонида Русских,0
20,улица Лермонтова,9
20,улица Лескова,213
20,Лесная улица,8
20,Лесное шоссе,3
20,Лесной переулок,2
20,Лесной проезд,0
20,поселок Лесной Авиации,2
20,Лесосечная улица,17
20,Летняя улица,4
20,улица Лизы Чайкиной,0
20,Линейная улица,68
20,Липецкая улица,10
20,Листопадная улица,0
20,Литейная улица,0
20,Литовская улица,1
20,улица Лобачевского,15
20,улица Лобова,47
20,Локомотивная улица,4
20,улица Ломоносова,11
20,Луговая улица,2
20,Луговской переулок,22
20,Лужниковская улица,3
20,улица Лузгина,2
20,площадь Лунинцев,0
20,Лучезарная улица,5
20,Лучистая улица,0
20,улица Лыкова,8
20,улица Лыщинского,0
20,Люблинская улица,5
20,улица Ляпидевского,3
20,улица Ляпунова,3
21,Магаданская улица,12
21,Магнитогорская улица,1
21,улица Магро,2
21,улица Майкова,1
21,Майкопская улица,1
21,Майская улица,0
21,улица Макаренко,44
21,Макеевская улица,1
21,Макетная улица,3
21,улица Маковского,15
21,улица Максима Горького,42
21,Малахитовая улица,1
21,Малая улица Айвазовского,0
21,Малая Кавалерийская улица,6
21,Малая Красноармейская улица,0
21,улица Малая Кропоткина,1
21,Малая улица Кропоткина,2
21,Малая Лесная улица,2
21,Малая улица МОПРа,7
21,Малая улица Плеханова,0
21,Малиновая улица,1
21,улица Малыгина,0
21,Малый переулок,6
21,улица Мальцева,9
21,улица Марата,97
21,улица Марии Ульяновой,21
21,улица Мартена,0
21,Мартовская улица,2
21,переулок Матросова,0
21,улица Матросова,4
21,улица Машиностроителей,0
21,улица Маяковского,22
21,переулок Маяковского,0
21,улица Медкадры,16
21,Междуреченская улица,6
21,Мелиоративная улица,7
21,Мелодичная улица,1
21,улица Менделеева,11
21,улица Менжинского,4
21,улица Механизаторов,8
21,переулок Минорный,1
21,улица Мира,124
21,Мирная улица,4
21,Мирный переулок,2
21,улица Михаила Кулагина,2
21,улица Михаила Немыткина,4
21,улица Михаила Перевозчикова,10
21,Михайловская набережная,0
21,Михайловская улица,0
21,улица Мичурина,39
21,улица Можайского,1
21,улица Моисеенко,4
21,Молдавская улица,5
21,бульвар Молодежи,32
21,Молодежная улица,16
21,Молодогвардейская улица,2
21,улица Молодой Гвардии,0
21,улица Молодости,38
21,переулок Монтажников,15
21,Мончегорская улица,0
21,улица МОПРа,1
21,переулок Морзистов,20
21,улица Морозова,0
21,Морской проспект,52
21,улица Москвина,17
21,Москворецкая улица,12
21,Московская улица,110
21,Мостовая улица,2
21,Моторная улица,10
21,Моховая улица,1
21,улица Моцарта,4
21,Мочищенское шоссе,22
21,Музыкальная улица,2
21,Мурманская улица,1
21,улица Мусы Джалиля,29
21,улица Мухачева,5
21,улица Мясниковой,25
22,улица Набережная Плющихи,3
22,Навальный переулок,0
22,Нагорная улица,0
22,улица Надежды,5
22,улица Надсона,1
22,Нарвская улица,2
22,Народная улица,106
22,Нарымская улица,30
22,Нарядная улица,0
22,улица Науки,3
22,улица Наумова,2
22,улица Нахимова,11
22,улица Находка,2
22,Национальная улица,105
22,улица Невельского,43
22,улица Некрасова,26
22,улица Немировича-Данченко,200
22,Нижегородская улица,116
22,улица Никитина,144
22,улица Николаева,16
22,улица Николая Грицюка,4
22,улица Николая Островского,96
22,улица Николая Сотникова,1
22,улица Николая Стазаева,0
22,улица Николая Шипилова,1
22,Новаторский переулок,0
22,Новая улица,15
22,улица Новая Заря,36
22,переулок Новикова,7
22,Новоалтайская улица,51
22,Новобугринская улица,14
22,Новогодняя улица,54
22,Новоморская улица,14
22,Новороссийская улица,12
22,улица Новоселов,16
22,Новосельская улица,2
22,Новосибирская улица,27
22,Новочеркасская улица,4
22,Новый переулок,48
22,переулок Ногина,2
22,улица Ногина,7
22,Норильская улица,3
23,Обдорская улица,3
23,Облачная улица,0
23,Облепиховая аллея,0
23,Обогатительная улица,10
23,Оборонная улица,41
23,улица Обручева,2
23,Обская улица,29
23,улица Обские зори,0
23,переулок Обские зори,0
23,Обской переулок,1
23,улица Объединения,100
23,Овражная улица,13
23,Овражный переулок,11
23,улица Овчукова,7
23,улица Огарева,2
23,улица Огинского,0
23,улица Одоевского,26
23,Озерная улица,70
23,Океанская улица,1
23,Окинская улица,25
23,Окопная улица,1
23,Окопный переулок,0
23,Окружная улица,6
23,Октябрьская улица,36
23,Октябрьская магистраль,6
23,улица Олега Кошевого,51
23,Олекминская улица,2
23,улица Олеко Дундича,19
23,Олимпийская улица,10
23,Оловозаводская улица,53
23,переулок Оловозаводской,1
23,Оловянная улица,2
23,улица Ольги Берггольц,1
23,улица Ольги Жилиной,27
23,Ольховская улица,42
23,Омская улица,7
23,Онежская улица,5
23,Оптическая улица,2
23,улица Орджоникидзе,19
23,Оренбургская улица,5
23,Орловская улица,5
23,Орловский переулок,0
23,Оршанская улица,2
23,Осенняя улица,5
23,улица Осипенко,111
23,улица Осипова,39
23,улица Осоавиахима,8
23,Отрадная улица,0
23,Охотская улица,11
23,улица Ошанина,2
24,улица Павленко,0
24,улица Павлова,0
24,переулок Павлова,1
24,Падунская улица,6
24,улица Палласа,32
24,Памирский 3-й микрорайон,1
24,Панельный переулок,2
24,улица Панишева,24
24,переулок Панишева,15
24,улица Панфиловцев,83
24,Парадная улица,1
24,Парашютная улица,5
24,Парковая улица,1
24,Паромная улица,0
24,Партизанская улица,13
24,улица Пархоменко,80
24,Пасечная улица,20
24,переулок Патриса Лумумбы,0
24,Патронная улица,0
24,Пензенская улица,4
24,Первомайская улица,127
24,Переездная улица,10
24,Перекатная улица,2
24,Перекопская улица,3
24,Переселенческая улица,120
24,улица Пермитина,24
24,Пермская улица,11
24,улица Перова,8
24,Перспективная улица,0
24,улица Пестеля,1
24,Петровская улица,0
24,улица Петровского,8
24,Петрозаводская улица,3
24,Петропавловская улица,22
24,улица Петухова,290
24,улица Печатников,14
24,Печерская улица,0
24,Пешеходная улица,5
24,улица Пилотов,48
24,Пионерская улица,8
24,улица Пирогова,30
24,улица Писарева,48
24,улица Писемского,30
24,Пихтовая улица,8
24,улица Плавильщиков,67
24,Планетная улица,21
24,Планировочная улица,76
24,Плановая улица,9
24,улица Плахотного,148
24,улица Плеханова,3
24,Плотинная улица,41
24,улица Плющиха,0
24,улица Победителей,4
24,улица Победы,5
24,улица Побежимова,3
24,Пограничная улица,3
24,переулок Подбельского,0
24,улица Подбельского,9
24,Поддубенская улица,1
24,Поддубенский переулок,1
24,Подольская улица,66
24,Подъемная улица,2
24,проезд Пожарского,12
24,улица Пожарского,5
24,Пойменная улица,7
24,улица Пойменная,1
24,Покатная улица,7
24,улица Покрышкина,3
24,Полевая улица,17
24,улица Полежаева,1
24,улица Поленова,1
24,улица Ползунова,35
24,Полтавская улица,19
24,улица Полякова,10
24,Полярная улица,9
24,Понтонная улица,0
24,улица Попова,9
24,Порт-Артурская улица,48
24,Портовая улица,4
24,Поселковая улица,4
24,Поселковый переулок,1
24,Потанинская улица,11
24,Потанинский переулок,1
24,переулок Потемкина,0
24,улица Потемкина,0
24,Почтовая улица,0
24,улица Почтовый Лог,10
24,улица Правды,9
24,Праздничная улица,1
24,улица Пржевальского,0
24,Прибрежная улица,4
24,Прибрежный переулок,1
24,Пригородная улица,6
24,Приграничная улица,8
24,Приисковая улица,4
24,Приморская улица,38
24,Приобская улица,3
24,Приовражная улица,1
24,Приозерная улица,1
24,Природная улица,0
24,переулок Пристанский,1
24,Пристанский переулок,16
24,улица Пришвина,7
24,Прогулочная улица,0
24,Проектная улица,7
24,Прожекторная улица,9
24,Прокатная улица,44
24,Прокопьевская улица,21
24,Пролетарская улица,208
24,Промкирпичная улица,6
24,Промышленная улица,35
24,Просторная улица,4
24,Проточная улица,5
24,Профилактическая улица,8
24,тупик Профинтерна,0
24,улица Профинтерна,18
24,Профсоюзная улица,23
24,Прямой переулок,6
24,Псковская улица,26
24,улица Пугачева,2
24,Пулеметная улица,0
24,Путевая улица,17
24,улица Пушкарева,49
24,улица Пушкина,0
24,Пятигорская улица,1
24,улица Пятницкого,3
25,Радиаторная улица,0
25,улица Радиостанция №2,1
25,Радиотехническая улица,42
25,улица Радистов,9
25,улица Радищева,4
25,Радужная улица,6
25,Разъездная улица,6
25,Районная улица,49
25,площадь Райсовета,2
25,улица Расковой,45
25,Рассветная улица,33
25,улица Революции,11
25,переулок Регулировщиков,17
25,Рекордный переулок,2
25,Рельефная улица,1
25,Рельсовая улица,12
25,Ремонтная улица,3
25,Рентгеновская улица,5
25,улица Репина,2
25,проезд Репина,0
25,Республиканская улица,41
25,Речкуновская улица,13
25,Речная улица,4
25,улица Римского-Корсакова,53
25,Рионская улица,13
25,Рионский переулок,2
25,улица Родники,13
25,Родниковая улица,11
25,Рождественская улица,2
25,улица Романова,22
25,улица Романтиков,9
25,Ромашковая улица,0
25,Российская улица,29
25,Ростовская улица,6
25,Рощинская улица,2
25,Рубежная улица,14
25,улица Рубежная,1
25,Рубиновая улица,12
25,Ружейная улица,0
25,Русская улица,47
25,улица Руставели,1
25,Рыбацкая улица,9
25,улица Рылеева,9
25,Рябиновая улица,46
26,улица Саввы Кожевникова,29
26,Садовая улица,80
26,Садовый переулок,1
26,Садовый проезд,3
26,улица Сакко и Ванцетти,40
26,улица Салтыкова-Щедрина,6
26,Самаркандская улица,2
26,Самарская улица,2
26,Самарский переулок,1
26,Самотечная улица,3
26,Саратовская улица,6
26,Саянская улица,3
26,улица Свердлова,14
26,Светлановская улица,59
26,Светлая улица,11
26,Светофорная улица,2
26,улица Свечникова,10
26,улица Свободы,10
26,улица Связистов,90
26,Севастопольская улица,10
26,Северная улица,37
26,Северный проезд,78
26,улица Седова,5
26,переулок Седова,0
26,улица Селезнева,28
26,Сельскохозяйственная улица,2
26,Сельскохозяйственный переулок,2
26,Семейная улица,0
26,улица Семьи Шамшиных,65
26,улица Серафимовича,49
26,улица Сердюкова,4
26,Серебренниковская улица,44
26,Серебристая улица,0
26,улица Серебряные Ключи,4
26,Серебряный переулок,3
26,улица Сержанта Коротаева,3
26,Серпуховская улица,1
26,Сестрорецкая улица,16
26,улица Сеченова,2
26,Сибирская улица,29
26,улица Сибирцева,1
26,площадь Сибиряков-Гвардейцев,0
26,улица Сибиряков-Гвардейцев,177
26,улица Сибревкома,11
26,улица Сибсельмашевская,2
26,Сибсельмашевская улица,5
26,Сивашская улица,3
26,Симферопольская улица,2
26,Сиреневая улица,33
26,Сказочная улица,0
26,улица Скрябина,0
26,Славянская улица,22
26,переулок Слесарей,18
26,улица Слюдянка,12
26,Смежная улица,3
26,улица Смирнова,8
26,Смоленская улица,4
26,Смородиновая улица,2
26,Советская улица,76
26,Советский переулок,1
26,Советское шоссе,0
26,улица Советской Сибири,2
26,улица Согласия,6
26,улица Содружества,1
26,Сокольническая улица,5
26,Сокольнический переулок,2
26,Солнечная улица,2
26,Солнечногорская улица,4
26,Соловьиная улица,0
26,Сормовская улица,1
26,Сосновая улица,0
26,Сосновский переулок,80
26,Софийская улица,44
26,Социалистическая улица,22
26,улица Союза Молодежи,5
26,Союзная улица,1
26,улица Спартака,10
26,Спортивная улица,25
26,спуск Ногина,2
26,Средний переулок,55
26,Ставропольская улица,7
26,улица Ставского,0
26,улица Станиславского,69
26,площадь Станиславского,0
26,Станичная улица,0
26,улица Станкевича,1
26,Станционная улица,254
26,улица Станционная,2
26,Старое шоссе,27
26,Старошоссейный переулок,1
26,улица Стартовая,1
26,Стартовая улица,7
26,улица Стасова,19
26,улица Степана Разина,1
26,Степная улица,91
26,Столбовая улица,52
26,улица Столетова,35
26,Столичная улица,1
26,Сторожевая улица,2
26,улица Стофато,20
26,Стрелковая улица,1
26,Стрелочная улица,9
26,микрорайон Стрижи,5
26,проспект Строителей,18
26,Строительная улица,3
26,Студенческая улица,6
26,улица Суворова,2
26,Судоремонтная улица,4
26,Сузунская улица,1
26,Сургутская улица,5
26,проезд Сурикова,2
26,улица Сурикова,11
26,улица Суркова,74
26,Сухановская улица,7
26,Сухарная улица,42
26,Суходольная улица,5
26,Сухумская улица,1
26,Сызранская улица,7
27,Таврическая улица,1
27,Таганрогская улица,3
27,Таганрогский переулок,1
27,Тагильская улица,2
27,Таежная улица,4
27,Тайгинская улица,37
27,Таймырская улица,2
27,Тайшетская улица,3
27,Таловая улица,7
27,Таманская улица,3
27,Тамбовская улица,14
27,улица Танкистов,69
27,Танковая улица,47
27,Татарская улица,3
27,улица Татьяны Снежиной,54
27,Ташкентская улица,15
27,улица Твардовского,33
27,Тверская улица,1
27,Театральная улица,17
27,Телевизионная улица,29
27,Телефонная улица,0
27,Телецкая улица,3
27,Тельбесская улица,1
27,улица Тельмана,24
27,улица Тенистая,1
27,Тенистая улица,15
27,улица Терешковой,43
27,Терновый переулок,1
27,улица Территория военного городка,2
27,улица Территория Горбольницы,1
27,Техническая улица,7
27,улица Тимакова,10
27,улица Тимирязева,93
27,улица Титова,182
27,Тихая улица,10
27,Тихвинская улица,17
27,переулок Токарей,17
27,улица Толбухина,33
27,Толмачевская улица,48
27,улица Толмачевская,1
27,Толмачевское шоссе,21
27,Толмаческая улица,1
27,улица Толстого,195
27,Томьусинская улица,4
27,Тополевая улица,32
27,Торфяная улица,0
27,Травяная улица,1
27,Трактовая улица,2
27,Тракторная улица,6
27,Тракторный переулок,1
27,улица Трехгорная,1
27,Трехгорная улица,1
27,Трикотажная улица,58
27,улица Трикотажстроя,1
27,Троицкая улица,0
27,переулок Тролейный,1
27,Троллейная улица,98
27,площадь Трубникова,0
27,площадь Труда,1
27,Трудовая улица,15
27,улица Тружеников,9
27,Тубинская улица,1
27,Тульская улица,70
27,Тульский переулок,1
27,Туннельная улица,7
27,улица Тургенева,192
27,улица Тухачевского,3
27,улица Тюленина,36
27,Тюменская улица,29
27,улица Тютчева,1
27,Тянь-Шаньская улица,3
28,Угловая улица,5
28,Ударная улица,24
28,улица Ударников,22
28,Удмуртская улица,0
28,Узловая улица,23
28,Узорная улица,16
28,Ульяновская улица,2
28,Универсальная улица,8
28,Университетский проспект,0
28,Уральская улица,7
28,Уржумская улица,1
28,улица Урицкого,15
28,улица Урманова,9
28,Урожайная улица,10
28,улица Успенского,6
28,Уссурийская улица,1
28,Утренняя улица,0
28,Уфимская улица,1
28,Ученическая улица,23
28,улица Ученых,7
28,Учительская улица,58
28,улица Учхозовская,1
28,улица Ушакова,3
28,Уютная улица,0
29,Фабричная улица,66
29,Фабричный переулок,8
29,улица Фадеева,37
29,Фасадная улица,30
29,улица Федора Горячева,21
29,Федора Горячева улица,0
29,улица Федора Ивачева,10
29,улица Федосеева,24
29,Ферганская улица,0
29,Фиалковая улица,0
29,Физкультурная улица,20
29,улица Филатова,17
29,Фрезерная улица,0
29,Фруктовая улица,1
29,улица Фрунзе,80
29,улица Фурманова,9
29,Футбольный переулок,0
30,Хабаровский переулок,2
30,Хакасская улица,3
30,улица Халтурина,45
30,Харьковская улица,16
30,Хасановская улица,118
30,Херсонская улица,32
30,Хилокская улица,33
30,улица Хилокская,1
30,Хинганская улица,3
30,Хинганский переулок,1
30,Хитровская улица,67
30,Хованская улица,3
30,Хоккейная улица,1
30,Холмистая улица,0
30,Холмский проезд,24
30,Холодильная улица,20
31,Цветной проезд,14
31,Целинная улица,2
31,Центральная улица,39
31,переулок Циолковского,1
31,улица Циолковского,1
32,улица Чайковского,1
32,улица Чапаева,23
32,улица Чаплыгина,41
32,Часовая улица,39
32,улица Челюскинцев,41
32,Челябинская улица,2
32,Чемская улица,20
32,Червонная улица,2
32,Черемушная улица,7
32,Черемушный переулок,0
32,Черемховская улица,14
32,улица Черенкова,12
32,Черепановская улица,4
32,Черкасская улица,0
32,Черноморская улица,0
32,Чернореченская улица,1
32,Черносельская улица,2
32,Чернышевский спуск,10
32,улица Черняховского,2
32,улица Чехова,222
32,улица Чигорина,54
32,Чистый переулок,0
32,Читинская улица,0
32,улица Чкалова,9
32,Чуйская улица,5
32,Чукотская улица,9
32,Чулымская улица,0
32,улица Чулымская,1
32,Чусовская улица,0
33,улица Шаляпина,3
33,переулок Шапошникова,22
33,улица Шапошникова,8
33,Шатурская улица,12
33,переулок Шевцовой,20
33,улица Шевцовой,4
33,улица Шевченко,17
33,улица Шекспира,6
33,Шилкинская улица,3
33,Широкая улица,73
33,Широкий переулок,0
33,улица Шишкина,35
33,Школьный переулок,3
33,Шлюзовая улица,33
33,улица Шмидта,13
33,улица Шолкина,3
33,Шорная улица,14
33,Шоссейная 1-я улица,1
33,Шоссейная 1я улица,0
33,Штормовая улица,3
33,Штурвальная улица,5
33,улица Шуберта,0
33,улица Шукшина,24
33,Шушинская улица,1
34,улица Щетинкина,16
34,улица Щорса,41
34,улица Щукина,1
35,улица Эйхе,12
35,Экваторная улица,19
35,Экономическая улица,0
35,Экскаваторная улица,1
35,Электровозная улица,5
35,Электрозаводская улица,10
35,Электрозаводской проезд,4
35,Электронная улица,0
35,улица Энгельса,25
35,проезд Энергетиков,15
35,площадь Энергетиков,0
35,улица Энтузиастов,7
35,Эстакадный переулок,3
35,Эстонская улица,3
36,Юбилейная улица,16
36,Южная улица,113
36,Южная площадь,0
36,Южный переулок,0
36,улица Юннатов,10
36,улица Юрия Смирнова,3
37,Яблочная улица,0
37,улица Ягодинская,1
37,Ягодинская улица,12
37,Ядринцевская улица,27
37,Ядринцевский Конный спуск,2
37,улица Ядринцевский подъем,0
37,улица Яковлева,13
37,Якутская улица,1
37,улица Якушева,77
37,Ялтинская улица,2
37,улица Яна Райниса,2
37,Январская улица,0
37,Янтарная улица,116
37,улица Яншина,0
37,Яринская улица,4
37,улица Ярослава Гашека,7
37,улица Ярославского,93
37,Ясная улица,1
37,Ясногорская улица,5
37,Яснополянская улица,50
37,улица Ясный Берег,1
37,Ясный Берег,2
