numberOfPlot,street,buildingCount
2,2-я Ольховская улица,11
2,2-я Пермская улица,1
2,2-я улица Пестеля,5
2,2-я Пихтовая улица,2
2,2-я Пойменная улица,1
2,2-я Портовая улица,14
2,2-я Прокопьевская улица,18
2,2-я Ракитная улица,11
2,2-я Рощинская улица,1
2,2-я Светлановская улица,19
2,2-я Складская улица,9
2,2-я Славгородская улица,0
2,2-я Солнечная улица,3
2,2-я улица Союза Молодежи,14
2,улица 2-я Станционная,3
2,2-я Станционная улица,42
2,2-я Сухарная улица,7
2,улица 2-я Сухарная,3
2,2-я Харьковская улица,11
2,2-я улица Черняховского,6
2,2-я Чулымская улица,4
2,2-я улица Шевцовой,35
2,2-я Школьная улица,6
2,2-я Шоссейная улица,17
2,2-я Экскаваторная улица,3
2,2-я Юргинская улица,3
3,улица 30 лет Октября,18
3,улица 3-го Сентября,1
3,улица 3 Интернационала,72
3,3-й Амурский переулок,18
3,3-й переулок Бестужева,0
3,3-й Бийский переулок,22
3,3-й Бронный переулок,0
3,3-й переулок Бурденко,9
3,3-й Вертковский переулок,0
3,3-й Гранатовый переулок,1
3,3-й переулок Забалуева,1
3,3-й Зеленхозовский переулок,0
3,3-й Инюшенский переулок,2
3,3-й Калужский переулок,0
3,3-й Камышенский переулок,0
3,3-й Клубный переулок,0
3,3-й переулок Костычева,1
3,3-й Красногорский переулок,14
3,3-й Красносельский проезд,16
3,3-й переулок Крашенинникова,11
3,3-й переулок Крупской,48
3,3-й переулок Мира,1
3,3-й переулок Молодости,1
3,3-й Орловский переулок,1
3,микрорайон 3-й Памирский,2
3,улица 3-й Памирский микрорайон,2
3,3-й Пермский переулок,3
3,3-й Порт-Артурский переулок,73
3,3-й Порядковый переулок,4
3,3-й Почтовый переулок,1
3,3-й Рабочий переулок,0
3,3-й переулок Римского-Корсакова,0
3,3-й Светлановский тупик,3
3,3-й переулок Седова,0
3,3-й переулок Серафимовича,8
3,3-й Ставропольский переулок,0
3,3-й Степной переулок,25
3,3-й переулок Танкистов,41
3,3-й Тихвинский переулок,0
3,3-й Трикотажный переулок,24
3,3-й переулок Успенского,3
3,3-й Черкасский переулок,2
3,3-й Чукотский переулок,2
3,3-й переулок Шапошникова,7
3,3-й Экскаваторный переулок,1
3,3-й Электронный переулок,0
3,3-я Андреевская улица,0
3,3-я Воинская улица,25
3,3-я Механическая улица,2
3,3-я Окинская улица,8
3,3-я Ольховская улица,2
3,3-я улица Черняховского,2
3,3-я Чулымская улица,7
3,3-я улица Шевцовой,1
3,улица 3-я Шоссейная,1
3,3-я Шоссейная улица,1
3,улица 3-я Экскаваторная,1
4,улица 40 лет Комсомола,7
4,улица 40 лет Октября,33
4,4-й Бийский переулок,10
4,4-й Бронный переулок,4
4,4-й Гранатовый переулок,1
4,4-й Гэсстроевский переулок,16
4,4-й Инюшенский переулок,0
4,4-й Калужский переулок,2
4,4-й Камышенский переулок,2
4,4-й переулок Костычева,0
4,4-й переулок Мира,1
4,4-й Порт-Артурский переулок,70
4,4-й Почтовый переулок,0
4,улица 4-й Пятилетки,4
4,4-й Рабочий переулок,1
4,4-й переулок Римского-Корсакова,7
4,4-й Светлановский тупик,5
4,4-й переулок Серафимовича,4
4,4-й Ставропольский переулок,1
4,4-й переулок Танкистов,42
4,4-й Тихвинский переулок,1
4,4-й Трикотажный переулок,24
4,4-й переулок Успенского,2
4,4-й Чукотский переулок,2
4,4-й Экскаваторный переулок,1
4,4-й Электронный переулок,2
4,4-я Андреевская улица,0
4,улица 4-я Кирпичная Горка,1
4,4-я Окинская улица,7
4,4-я Ольховская улица,3
4,4-я Рабочая улица,8
4,4-я улица Шевцовой,0
5,улица 5-го Декабря,4
5,улица 5 Декабря,5
5,5-й Бронный переулок,1
5,5-й Гранатовый переулок,1
5,5-й Гэсстроевский переулок,5
5,5-й Инюшенский переулок,1
5,5-й Калужский переулок,1
5,5-й Камышенский переулок,0
5,5-й переулок Мира,8
5,5-й Порт-Артурский переулок,57
5,5-й Почтовый переулок,0
5,5-й Рабочий переулок,1
5,5-й переулок Римского-Корсакова,5
